categories/0,categories/1,categories/2,categories/3,categories/4,skill,title
r,machine-learning,python,sql,,"r,machine-learning,python,sql,","Senior Data Scientist => Paid Relocation to Amsterdam <= at Booking.com (Amsterdam, Netherlands)"
go,cassandra,distributed-computing,java,amazon-web-services,"go,cassandra,distributed-computing,java,amazon-web-services","Data Engineer / Big Data / java / python / streaming / cloudera / spark / events at Sixt GmbH & Co. Autovermietung KG (München, Deutschland)"
apache-spark,java,hadoop,hbase,hdfs,"apache-spark,java,hadoop,hbase,hdfs","(Senior) Data Engineer (m/w) at DATEV eG (Nürnberg, Deutschland)"
java,c++,python,javascript,apache-spark,"java,c++,python,javascript,apache-spark","Software Developer: Java, C++, Python at Goldman Sachs (London, UK)"
scala,maven,spark,,,"scala,maven,spark,,","Back-End Scala Engineer at Fractal Industries (Reston, VA)"
java,python,r,data-science,amazon-web-services,"java,python,r,data-science,amazon-web-services","Sr Software Engineer (Data Science) at T. Rowe Price (Baltimore, MD)"
c#,excel,swift,xamarin,sql,"c#,excel,swift,xamarin,sql","Mobile Developer at Brainspire Solutions (Denver, CO)"
tsql,sql,nosql,,,"tsql,sql,nosql,,","Consultant (m/w) Microsoft ETL & Data Warehouse at Fresenius Netcare (Bad Homburg vor der Höhe, Deutschland)"
drupal,javascript,api-design,database-design,data-visualization,"drupal,javascript,api-design,database-design,data-visualization","Drupal Developer / Architect at Insomniac Design, Inc. (Washington, DC)"
ddos,ns-3,,,,"ddos,ns-3,,,","Lead Research Engineer - Cyber Defense Strategy at Two Six Labs (Arlington, VA)"
r,machine-learning,python,,,"r,machine-learning,python,,","Senior Data Scientist - Machine Learning Expert (m/f) at MYTOYS GROUP (Berlin, Germany)"
reactjs,d3.js,amazon-web-services,css,javascript,"reactjs,d3.js,amazon-web-services,css,javascript","Software Engineer (Web) at Resolute Innovation (New York, NY) (allows remote)"
salesforce,apex,visualforce,java,.net,"salesforce,apex,visualforce,java,.net","Salesforce Developer at Goldline, Inc. (Los Angeles, CA) (allows remote)"
machine-learning,python,nlp,,,"machine-learning,python,nlp,,","Data Scientist - Brain AI at Brain (San Mateo, CA)"
java,java-ee,javascript,web,bigdata,"java,java-ee,javascript,web,bigdata","Senior Java-Softwareentwickler (m/w) / (Senior) Software Developer (f/m) at innoSysTec GmbH (Salem, Deutschland)"
pandas,r,python,numpy,sql,"pandas,r,python,numpy,sql","Data Analyst (m/f) at komoot (Berlin, Germany) (allows remote)"
design,nlp,owl,rdf,algorithm,"design,nlp,owl,rdf,algorithm","Scientist, Natural Language Processing at Charles River Analytics (Cambridge, MA)"
virtual-reality,augmented-reality,human-computer-interface,machine-learning,unity,"virtual-reality,augmented-reality,human-computer-interface,machine-learning,unity","Scientist- Augmented and Virtual Reality (AR/VR) at Charles River Analytics (Cambridge, MA)"
hadoop,apache-spark,r,,,"hadoop,apache-spark,r,,","Senior Big Data Developer - Hadoop at American Family (Madison, WI)"
machine-learning,c,security,,,"machine-learning,c,security,,","Systems Engineer at National Security Agency (Fort Meade, MD)"
r,c,security,java,sysadmin,"r,c,security,java,sysadmin","Digital Network Exploitation Analyst - Entry/Mid-Level at National Security Agency (Fort Meade, MD)"
machine-learning,r,unity3d,,,"machine-learning,r,unity3d,,","Data Scientist at National Security Agency (Fort Meade, MD)"
security,r,algorithm,,,"security,r,algorithm,,","Cryptographic Vulnerability Analyst at National Security Agency (Fort Meade, MD)"
algorithm,machine-learning,design,,,"algorithm,machine-learning,design,,","Computer Systems Researcher at National Security Agency (Fort Meade, MD)"
machine-learning,algorithm,c,java,python,"machine-learning,algorithm,c,java,python","Software Engineer at National Security Agency (Fort Meade, MD)"
security,networking,,,,"security,networking,,,","Computer Network Analyst at National Security Agency (Fort Meade, MD)"
security,qa,,,,"security,qa,,,","Systems Vulnerability Analyst at National Security Agency (Fort Meade, MD)"
c++,signal-processing,image-processing,deep-learning,,"c++,signal-processing,image-processing,deep-learning,","Algorithm Developer (Ref #1749-C) at Toyon Research Corporation (Sterling, VA)"
java,java-ee,unit-testing,enterprise-architect,,"java,java-ee,unit-testing,enterprise-architect,","(Senior) Technical Consultant - Software Engineer für Versicherungslösungen (m/w at NTT DATA Deutschland GmbH (München, Deutschland)"
machine-learning,java,elasticsearch,bigdata,clojure,"machine-learning,java,elasticsearch,bigdata,clojure","Software Engineer at Polecat Incisive Intelligence (Bristol, UK)"
php,elasticsearch,mongodb,nosql,rabbitmq,"php,elasticsearch,mongodb,nosql,rabbitmq","PHP Software Engineer at DHI Group (London, UK)"
python,etl,,,,"python,etl,,,","Data Engineer - Build our Crystal Ball! at YouGov (Warsaw, Poland)"
pandas,d3.js,python,javascript,sql,"pandas,d3.js,python,javascript,sql","Data Analytics Instructor - University of Kansas (Part-Time) at Trilogy Education Services (Overland Park, KS)"
elasticsearch,mongodb,redis,docker,jenkins,"elasticsearch,mongodb,redis,docker,jenkins","Senior DevOps Engineer (m/f) at Feingold Technologies GmbH (Berlin, Germany)"
python,amazon-web-services,distributed-computing,devops,sysadmin,"python,amazon-web-services,distributed-computing,devops,sysadmin","Software Engineer- Site Reliability | AI Startup at HyperScience (New York, NY)"
clojure,amazon-web-services,sql,nosql,docker,"clojure,amazon-web-services,sql,nosql,docker","Data Engineer at Funding Circle (San Francisco, CA)"
scala,kubernetes,docker,reactjs,javascript,"scala,kubernetes,docker,reactjs,javascript","Senior Software Engineer at Domino Data Lab (San Francisco, CA)"
data-modeling,hadoop,sql,sap,matlab,"data-modeling,hadoop,sql,sap,matlab","Business (Data) Analyst at Shane Co. (Centennial, CO)"
java,python,ruby,databases,bigdata,"java,python,ruby,databases,bigdata","Senior Field Engineer (Pre-Sales) Berlin, Munich, or Dornbirn (Austria) at Crate.IO GmbH (Berlin, Deutschland)"
scala,hadoop,python,apache-spark,,"scala,hadoop,python,apache-spark,","KBC ICT Software Engineer Big Data at KBC (Leuven, Belgium)"
web-services,hadoop,elasticsearch,apache-spark,mapreduce,"web-services,hadoop,elasticsearch,apache-spark,mapreduce","Lead Engineer, Data Platform at Creative Commons () (allows remote)"
python,node.js,rust,cassandra,elasticsearch,"python,node.js,rust,cassandra,elasticsearch","Senior Software Engineer at Lucid, LLC (New Orleans, LA)"
apache,java,hadoop,python,apache-spark,"apache,java,hadoop,python,apache-spark","Backend Developer, Adobe Experience Cloud at Adobe Systems (San Francisco, CA)"
sql-server,tableau,powerbi,mongodb,etl,"sql-server,tableau,powerbi,mongodb,etl","Senior ETL/SQL Developer at TopDevz (Sacramento, CA) (allows remote)"
apache-spark,scalability,ruby-on-rails,etl,bigdata,"apache-spark,scalability,ruby-on-rails,etl,bigdata","Senior Data Engineer at 605.tv (New York, NY)"
hadoop,python,bigdata,java,sql,"hadoop,python,bigdata,java,sql","Data Engineer at IMC Financial Markets (Chicago, IL)"
amazon-web-services,kubernetes,python,linux,docker,"amazon-web-services,kubernetes,python,linux,docker","Infrastructure Engineer at Domino Data Lab (San Francisco, CA)"
crm,sql,hadoop,mapreduce,mongodb,"crm,sql,hadoop,mapreduce,mongodb","Data Engineer (m/w) at S-Kreditpartner GmbH (Berlin, Deutschland)"
java,docker,spring-boot,linux,elasticsearch,"java,docker,spring-boot,linux,elasticsearch","Backend Entwickler / Programmierer (m/w) bei radio.de at radio.de GmbH (Hamburg, Deutschland)"
scala,python,apache-spark,cassandra,sql,"scala,python,apache-spark,cassandra,sql","Data & Analytics Platform Lead - Connect fantastic TV to audiences worldwide at Magine (Stockholm, Sweden)"
scala,python,apache-spark,cassandra,apache-kafka,"scala,python,apache-spark,cassandra,apache-kafka","Data Software Engineer - Connect fantastic TV to audiences worldwide at Magine (Stockholm, Sweden)"
scala,apache-spark,hadoop,spring-boot,docker,"scala,apache-spark,hadoop,spring-boot,docker","Senior Entwickler für anspruchsvolle Software mit modernen Big-Data-Technologien at Bundesrepublik Deutschland  Finanzagentur GmbH (Frankfurt am Main, Deutschland)"
c++,c,design,,,"c++,c,design,,","(Senior) Deep Learning Engineer, Munich at Trayzi (München, Deutschland)"
testing,qa,,,,"testing,qa,,,","Software Quality Assurance Analyst at Arterys (Calgary, AB, Canada)"
d3.js,python,web-services,,,"d3.js,python,web-services,,","Web Developer at European Molecular Biology Laboratory (EMBL) (Heidelberg, Germany)"
c++,computer-vision,opencv,algorithm,,"c++,computer-vision,opencv,algorithm,","Softwareentwickler (m/w) Computervision / Bildverarbeitung at KRÜSS GmbH (Hamburg, Deutschland)"
etl,python,,,,"etl,python,,,","Data Engineer - Build our Crystal Ball! at YouGov (London, UK)"
.net,javascript,cloud,scala,machine-learning,".net,javascript,cloud,scala,machine-learning","Full-Stack Software Engineer - Data Science / Analytics at JustGiving - London office (London, UK)"
python,apache-spark,r,rstudio,sql,"python,apache-spark,r,rstudio,sql","Data Scientist (w/m) at freenet Group (Hamburg, Germany)"
testing,clojure,automated-tests,,,"testing,clojure,automated-tests,,","Test Analyst for award winning software at SimCorp A/S (Wolverhampton, UK)"
python,sql,google-adwords,apache-spark,,"python,sql,google-adwords,apache-spark,","Senior Python Backend Engineer - Turn trips into amazing experiences! at GetYourGuide AG (Berlin, Germany)"
qa,javascript,web-services,,,"qa,javascript,web-services,,","QA Analyst at 14 West (Baltimore, MD)"
php,java,mysql,postgresql,elasticsearch,"php,java,mysql,postgresql,elasticsearch","Fullstack web developer at ICM - Brain and Spine Institute (Paris-13E-Arrondissement, France)"
python,java,amazon-web-services,bigdata,mysql,"python,java,amazon-web-services,bigdata,mysql","Senior Principal Engineer-Big Data at Autodesk (San Francisco, CA)"
elasticsearch,ansible,puppet,amazon-web-services,gcp,"elasticsearch,ansible,puppet,amazon-web-services,gcp",Site Reliability Engineer- Leading Open Source Company at Elastic () (allows remote)
x86,assembly,c,c++,ida,"x86,assembly,c,c++,ida","Reverse Engineer/Malware Analyst (All Experience Levels) at Cipher Tech Solutions, Inc (Linthicum Heights, MD)"
reactjs,elasticsearch,node.js,javascript,user-interface,"reactjs,elasticsearch,node.js,javascript,user-interface",UI Engineering Manager- Leading Open Source Company at Elastic () (allows remote)
python,c++,matlab,java,machine-learning,"python,c++,matlab,java,machine-learning","Software engineer - Build the next generation of our simulation engine at A Priori Investment Management (New York, NY)"
java,c++,python,machine-learning,,"java,c++,python,machine-learning,","Data Scientist with strong interest in financial markets at A Priori Investment Management (New York, NY)"
computer-vision,imaging,c++,3d,,"computer-vision,imaging,c++,3d,","Software Expert in the area of Computer Vision / Image Processing at Leica Geosystems (Heerbrugg, Switzerland)"
java,jsp,postgresql,,,"java,jsp,postgresql,,","Scientist medical informatics / clinical research software at Deutsches Krebsforschungszentrum (Heidelberg, Deutschland)"
reactjs,node.js,echosign,payment-processing,salesforce,"reactjs,node.js,echosign,payment-processing,salesforce","Lead Architect to Shape Tech Stack at Edtech Startup at Vemo Education (New York, NY)"
.net,database,sql,data-modeling,javascript,".net,database,sql,data-modeling,javascript","Senior Software Engineer / Application Data at QuoteCenter (Vancouver, WA)"
apex,visualforce,javascript,salesforce,,"apex,visualforce,javascript,salesforce,","Lead Salesforce Technical Architect (f/m) at Delivery Hero AG (Berlin, Germany)"
java,spring,spring-mvc,maven,elasticsearch,"java,spring,spring-mvc,maven,elasticsearch","Back End Java Developer at Anthem Engineering (Laurel, MD)"
linux,amazon-web-services,mongodb,ansible,elasticsearch,"linux,amazon-web-services,mongodb,ansible,elasticsearch","Junior DevOps (w/m) at ecosio GmbH (Wien, Österreich)"
java,restful-architecture,docker,elasticsearch,redis,"java,restful-architecture,docker,elasticsearch,redis","Backend DevOps Engineer (Java) (m/f) wanted for leading e-hailing app in Europe at mytaxi (Intelligent Apps GmbH) (Hamburg, Germany)"
php,salesforce,,,,"php,salesforce,,,","SalesForce Full-Stack Software Engineer [Remote Hire] at Lenox Park Solutions LLC (Austin, TX) (allows remote)"
elasticsearch,c#,.net,javascript,microservices,"elasticsearch,c#,.net,javascript,microservices","Senior Software Developer (Relo to Portland, OR area) at QuoteCenter (Vancouver, WA)"
windows,excel,powershell,sccm,sus,"windows,excel,powershell,sccm,sus","Information Security Engineer at Jack Henry & Associates, Inc.® (Springfield, MO)"
testing,,,,,"testing,,,,","SAS Developer at Hays plc (Dublin, Ireland)"
qa,testing,automated-tests,,,"qa,testing,automated-tests,,","Quality Assurance Analyst at 14 West and The Agora Companies (Baltimore, MD)"
web-services,sql,,,,"web-services,sql,,,","Entry Level Business Analyst at 14 West and The Agora Companies (Baltimore, MD)"
linux,python,bash,puppet,,"linux,python,bash,puppet,","Level II  Linux Support Engineer, Research Computing at New York Genome Center (New York, NY)"
hadoop,amazon-web-services,bigdata,docker,aerospike,"hadoop,amazon-web-services,bigdata,docker,aerospike","DevOps Engineer to help scale our Real-Time Bidding platform with 100k+ QPS at Zemanta (Ljubljana, Slovenia)"
jsf,spring,hibernate,postgresql,html,"jsf,spring,hibernate,postgresql,html","Java-Entwickler, Supporter, Business Analyst / IT Consultant (m/w) at HIS Hochschul-Informations-System eG (Hannover, Deutschland)"
apache-spark,oop,java,,,"apache-spark,oop,java,,","Principal Software Engineer, Analytics at MuleSoft (Mountain View, CA)"
cassandra,elasticsearch,apache-spark,,,"cassandra,elasticsearch,apache-spark,,","Big Data Infrastructure Engineer at MuleSoft (Mountain View, CA)"
api,user-interface,salesforce,apex,visualforce,"api,user-interface,salesforce,apex,visualforce","Staff Architect - Salesforce at American Express (Phoenix, AZ)"
qa,testing,python,database,c++,"qa,testing,python,database,c++","Agile Database Quality Assurance (QA) Engineer (m/f)  (Berlin or Groningen) at Swarm64 AS Zweigstelle Hive (Berlin, Germany)"
node.js,jquery,amazon-web-services,dynamics-crm,salesforce,"node.js,jquery,amazon-web-services,dynamics-crm,salesforce","Software Engineer - Core Product at Skuid (Chattanooga, TN)"
json,scala,machine-learning,amazon-web-services,rest,"json,scala,machine-learning,amazon-web-services,rest","Senior Web Application Engineer at Trust Science Inc. (Edmonton, AB, Canada)"
data-warehouse,etl,amazon-web-services,business-intelligence,,"data-warehouse,etl,amazon-web-services,business-intelligence,","Data Architect (New microservices architecture, SaaS, well funded start-up) at hipages (Sydney, Australia)"
data-science,spark-streaming,hadoop,,,"data-science,spark-streaming,hadoop,,","Big Data Architect (w/m) at HUK-COBURG Versicherungsgruppe (Coburg, Germany)"
hadoop,java,apache-flink,hdfs,hbase,"hadoop,java,apache-flink,hdfs,hbase","Senior Software Engineer, Java (m/f) at ResearchGate GmbH (Berlin, Germany)"
python,apache-spark,hadoop,nosql,etl,"python,apache-spark,hadoop,nosql,etl","Big Data Engineer (m/f) at HelloFresh (Berlin, Germany)"
scala,apache-spark,java,functional-programming,,"scala,apache-spark,java,functional-programming,","Scala Developer at Pointlogic (Rotterdam, Netherlands)"
python,hadoop,scala,etl,apache-spark,"python,hadoop,scala,etl,apache-spark","Expert Data Scientist (m/w) at Siemens AG (München, Deutschland)"
rest,amazon-web-services,google-cloud-platform,scala,rust,"rest,amazon-web-services,google-cloud-platform,scala,rust","AI Backend Engineer at Snips (Paris, France)"
reactjs,redux,react-redux,javascript,,"reactjs,redux,react-redux,javascript,","AI Frontend Web Engineer at Snips (Paris, France)"
elasticsearch,ruby,ruby-on-rails,reactjs,java,"elasticsearch,ruby,ruby-on-rails,reactjs,java","Senior Engineer, Full Stack at Sonian, Inc. (Waltham, MA)"
scrum,agile,clojure,salesforce,apex-code,"scrum,agile,clojure,salesforce,apex-code","Salesforce Developer - Community at DentaQuest (Boston, MA)"
java,,,,,"java,,,,","Senior Data Engineer at eBay (San Jose, CA)"
java,,,,,"java,,,,","Data Engineer at eBay (San Jose, CA)"
python-3.x,jupyter-notebook,mysql,pandas,scikit-learn,"python-3.x,jupyter-notebook,mysql,pandas,scikit-learn","Data Scientist at autobiz (Suresnes, France)"
python-3.x,jupyter-notebook,mysql,pandas,scikit-learn,"python-3.x,jupyter-notebook,mysql,pandas,scikit-learn","Data Analyst at autobiz (Suresnes, France)"
java,agile,bigdata,openshift,,"java,agile,bigdata,openshift,","Lead Applications Developer #138070 at UPS (Parsippany-Troy Hills, NJ)"
sql,.net,microsoft-dynamics,,,"sql,.net,microsoft-dynamics,,","Software Application Test Analyst at Rajapack (Tongeren, Belgium)"
typescript,reactjs,angular,node.js,rest,"typescript,reactjs,angular,node.js,rest","Front-End Engineer to Build Data-Rich IoT Application at CleanSpark Inc (San Diego, CA) (allows remote)"
kubernetes,amazon-web-services,gpu,apache-kafka,tensorflow,"kubernetes,amazon-web-services,gpu,apache-kafka,tensorflow","Systems Engineer for Machine Learning Company at Matroid (Palo Alto, CA)"
tensorflow,deep-learning,machine-learning,computer-vision,kubernetes,"tensorflow,deep-learning,machine-learning,computer-vision,kubernetes","Deep Learning Engineer for Computer Vision Company at Matroid (Palo Alto, CA)"
sysadmin,vmware,devops,sql,,"sysadmin,vmware,devops,sql,","Senior System Administrator at Applied Statistics & Management Inc. (Temecula, CA)"
java,c#,web-services,apache-spark,sql,"java,c#,web-services,apache-spark,sql","CRM Technical Architect at UBS (London, UK)"
algorithm,java,machine-learning,,,"algorithm,java,machine-learning,,",Algorithms and Analytics Quantitative Developer at UBS (Hong Kong)
python,r,sql,pandas,mysql,"python,r,sql,pandas,mysql","Data Scientist at Inkitt GmbH (Berlin, Germany)"
apache-spark,java,python,apache-kafka,redis,"apache-spark,java,python,apache-kafka,redis","Software Engineer - Hedge fund (Full-time / 180K - 240k) at GuardX (New York, NY)"
python,postgresql,microservices,kubernetes,ubuntu,"python,postgresql,microservices,kubernetes,ubuntu","Software Engineer (Big Data, Python, Full Stack) at University of Chicago | Center for Data Intensive Science (Chicago, IL)"
node.js,agile,javascript,,,"node.js,agile,javascript,,","(Senior) Node.js Developer in a fast growing, soundly financed AI start-up at Liquid Labs (Hamburg, Germany)"
c#,.net,tdd,cleancode,,"c#,.net,tdd,cleancode,","Software Developer C# (m/f) at ROSEN Technology and Research Center GmbH (Stutensee, Deutschland)"
c#,uml,javascript,dependency-management,web-api,"c#,uml,javascript,dependency-management,web-api","Software Architect (m/f) at ROSEN Technology and Research Center GmbH (Lingen (Ems), Deutschland)"
business-intelligence,data-warehouse,etl,amazon-redshift,amazon-web-services,"business-intelligence,data-warehouse,etl,amazon-redshift,amazon-web-services","Data Engineer at Leadfeeder (Helsinki, Finland) (allows remote)"
c#,.net,tdd,cleancode,,"c#,.net,tdd,cleancode,","Software Developer C# (m/f) at ROSEN Technology and Research Center GmbH (Osnabrück, Deutschland)"
database,java-ee,sas,artificial-intelligence,acl,"database,java-ee,sas,artificial-intelligence,acl","Cadre scientifique H/F at Banque de France (Paris, France)"
hadoop,sql,bash,python,aws,"hadoop,sql,bash,python,aws","Data Engineer // Ingénieur de données at SSENSE (Montréal, QC, Canada)"
hadoop,maven,devops,docker,linux,"hadoop,maven,devops,docker,linux","DevOps Tech Lead at Oracle UK (Reading, UK)"
hadoop,analytics,,,,"hadoop,analytics,,,","Data Management Practice Lead at Omni Resources (Milwaukee, WI)"
java,python,docker,tensorflow,machine-learning,"java,python,docker,tensorflow,machine-learning","Sr. Software Engineer, Machine Learning at Atlassian (Mountain View, CA)"
java,javascript,docker,tensorflow,machine-learning,"java,javascript,docker,tensorflow,machine-learning","Sr. Full Stack Software Engineer, Machine Learning at Atlassian (Mountain View, CA)"
elasticsearch,hadoop,java,apache-spark,machine-learning,"elasticsearch,hadoop,java,apache-spark,machine-learning","Sr. Software Engineer, Search at Atlassian (Mountain View, CA)"
python,numpy,hadoop,postgresql,go,"python,numpy,hadoop,postgresql,go","Head of Applied Machine Learning at Clarifai (New York, NY)"
sql,data-warehouse,agile,plsql,,"sql,data-warehouse,agile,plsql,","BI - ETL Developer met ervaring in een datawarehouse-omgeving at Smals (Sint-Gillis, Belgium)"
hadoop,apache-spark,apache,scala,python,"hadoop,apache-spark,apache,scala,python","Hadoop Engineer at SpotX (Belfast, UK)"
octave,sql,google-analytics,matlab,r,"octave,sql,google-analytics,matlab,r","Data Analyst at GetApp (a Gartner company) (Barcelona, Spain)"
java,scala,cassandra,rabbitmq,apache-spark,"java,scala,cassandra,rabbitmq,apache-spark","Data Engineer at Adthena (London, UK)"
sql,http,python,,,"sql,http,python,,","Data Scientist (m/w) at Controlxpert GmbH (Langenfeld (Rheinland), Deutschland)"
bigdata,data-science,hadoop,data-lake,amazon-web-services,"bigdata,data-science,hadoop,data-lake,amazon-web-services","Senior Data Scientist at REAN Cloud (Boulder, CO) (allows remote)"
datawarehouse,,,,,"datawarehouse,,,,","Software Engineering - Data Warehouse at JP Morgan Chase (Tampa, FL)"
javascript,css,html,d3.js,,"javascript,css,html,d3.js,","Développeur FrontEnd & Datavisualisation H/F at IFOP (Paris, France)"
spark,kafka,cassandra,scala,python,"spark,kafka,cassandra,scala,python","Data Engineer at BlueOwl, LLC. (San Francisco, CA)"
python,ruby,linux,,,"python,ruby,linux,,","Software Engineer-Nessus Research at Tenable, Inc. (Dublin, Ireland)"
c++,java,devops,machine-learning,linux,"c++,java,devops,machine-learning,linux","Senior Software Engineer at Selerity (New York, NY) (allows remote)"
javascript,node.js,angularjs,machine-learning,,"javascript,node.js,angularjs,machine-learning,","Senior Augmented Reality Javascript Engineer for VC-Backed AR startup at Apprentice FS (Jersey City, NJ)"
pytorch,keras,tensorflow,machine-learning,,"pytorch,keras,tensorflow,machine-learning,","Data Scientist  cutting-edge AI tools for financial news at Exabel (Oslo, Norway)"
bigdata,scala,java,java-8,,"bigdata,scala,java,java-8,","Senior Backend Engineer with Scala/JVM at Zendesk (Dublin, Ireland)"
.net-core,rest,reactjs,elasticsearch,mongodb,".net-core,rest,reactjs,elasticsearch,mongodb","Erfaren webbutvecklare som gillar .Net Core och React at e-Avrop AB (Stockholm, Sweden) (allows remote)"
java,objective-c,swift,nativeapplication,mobile,"java,objective-c,swift,nativeapplication,mobile","Java / Big Data Software Engineer at JP Morgan Chase (Jersey City, NJ)"
javascript,frontend,reactjs,angularjs,python,"javascript,frontend,reactjs,angularjs,python","Frontend Developer at Accel-Backed Machine Learning CyberSecurity Startup! at CheckRecipient (London, UK)"
docker,linux,sysadmin,on-prem,architecture,"docker,linux,sysadmin,on-prem,architecture","On-premise DevOps Engineer at Accel-Backed Machine Learning Startup! at CheckRecipient (London, UK)"
python-3.x,python,postgresql,sqlalchemy,flask,"python-3.x,python,postgresql,sqlalchemy,flask","Python Backend Engineer at Accel-Backed Machine Learning Startup! at CheckRecipient (London, UK)"
reactjs,php,microservices,javascript,tensorflow,"reactjs,php,microservices,javascript,tensorflow","Senior Software Engineer - Web (Fullstack) at Course Hero (Redwood City, CA)"
agile,cloud,api,java,git,"agile,cloud,api,java,git","Principal Software Engineer - Big Data Performance at Carbon Black (Boulder, CO) (allows remote)"
angular,rest,java,artificial-intelligence,computer-science,"angular,rest,java,artificial-intelligence,computer-science","***Software Developer - US Citizenship Required*** at Knexus Research Corp. (Oxon Hill, MD)"
bigdata,hadoop,apache-spark,qa,python,"bigdata,hadoop,apache-spark,qa,python","Big Data QA Engineers (Hadoop Spark Python Scala Automation) at Vodafone Group (London, UK)"
java,javascript,html,sql,ajax,"java,javascript,html,sql,ajax","Salesforce Developer at Picnic (Amsterdam, Netherlands)"
hadoop,scala,python,apache-spark,apache-kafka,"hadoop,scala,python,apache-spark,apache-kafka","Big Data Engineer (Hadoop, Spark, Nifi, Kafka) at Vodafone Group (London, UK)"
analytics,sql,data-structures,data-science,elasticsearch,"analytics,sql,data-structures,data-science,elasticsearch","Data Architect / Analyst at bexio AG (Rapperswil-Jona, Schweiz)"
c#,automated-tests,asp.net-web-api,.net,specflow,"c#,automated-tests,asp.net-web-api,.net,specflow","Senior QA Automation Analyst -join the best independent digital agency in the UK at Zone (London, UK)"
hbase,apache-spark,apache-kafka,,,"hbase,apache-spark,apache-kafka,,","Big Data Platform Lead / Analytics Specialist at Vodafone Group (London, UK)"
hadoop,apache-spark,cloud,continuous-integration,kubernetes,"hadoop,apache-spark,cloud,continuous-integration,kubernetes","Devops engineer (Hadoop Cloud Spark CI/CD) at Vodafone Group (London, UK)"
python,mysql,nodes,elasticsearch,redis,"python,mysql,nodes,elasticsearch,redis","Senior Site Reliability Engineer (SRE) - Performance at Rollbar (San Francisco, CA)"
machine-learning,python,deep-learning,tensorflow,bigdata,"machine-learning,python,deep-learning,tensorflow,bigdata","Machine Learning Engineer f/m (100% Remote) at Jaumo GmbH (Göppingen, Germany) (allows remote)"
fpga,altera,lattice,xilinx,vhdl,"fpga,altera,lattice,xilinx,vhdl","Entwickler für die Bereiche System-on-Chip und Elektronik (m/w) at TQ-Systems GmbH (Seefeld, Deutschland)"
javascript,node.js,ruby-on-rails,python,elasticsearch,"javascript,node.js,ruby-on-rails,python,elasticsearch","Senior Full-Stack Rail Developer at USA TODAY NETWORK (Cambridge, MA)"
javascript,node.js,reactjs,angularjs,,"javascript,node.js,reactjs,angularjs,","Full Stack Web Developer - Cancer AI Apps, Electric Car Apps, and More at Roam & Wander (Queens, NY)"
python,r,machine-learning,hadoop,,"python,r,machine-learning,hadoop,","Senior Principal Data Scientist at EdgeRock Technology Partners (New York, NY)"
java,hadoop,mapreduce,apache-spark,,"java,hadoop,mapreduce,apache-spark,","Java Backend Engineer at 3Scan (San Francisco, CA)"
python,agile,testing,,,"python,agile,testing,,","Sr. Python Developer at AI & Cyber Security Company at Cylance (Austin, TX)"
scala,python,keras,machine-learning,data-science,"scala,python,keras,machine-learning,data-science",Software Engineer in Machine Learning at LeadIQ (Singapore)
python,java,amazon-web-services,docker,kubernetes,"python,java,amazon-web-services,docker,kubernetes","Software Engineer, Infrastructure at Allen Institute for Artificial Intelligence (Seattle, WA)"
oracle,sql,plsql,database,sysadmin,"oracle,sql,plsql,database,sysadmin","Oracle Data Warehouse Engineer to grow into Big Data at PAF - Play Among Friends (Helsingfors, Finland)"
cloud,c++,java,python,groovy,"cloud,c++,java,python,groovy","Graduate Developer - BI and Big Data at Oracle UK (Bristol, UK)"
oracle,cloud,java,python,docker,"oracle,cloud,java,python,docker","Senior Software Engineer - BI and Big Data PaaS at Oracle UK (Bristol, UK)"
sql,python,r,crm,,"sql,python,r,crm,","Data Scientist/Data Engineer (m/f) - Munich, Germany at Westwing Home & Living (Munich, Germany)"
python,pandas,scikit-learn,apache-spark,,"python,pandas,scikit-learn,apache-spark,","Data Engineer / Python Developer at Kayrros (Paris, France)"
c#,c++,python,sql,cython,"c#,c++,python,sql,cython","Software Developer  CAE at Collier Research Corporation (Newport News, VA)"
wpf,c#,3d,c,python,"wpf,c#,3d,c,python","Software Developer  3D Graphics at Collier Research Corporation (Newport News, VA)"
typescript,javascript,python,go,sql,"typescript,javascript,python,go,sql","Software Engineer - Machine Learning at Coresystems AG (Berlin, Germany)"
hadoop,scala,java,machine-learning,bigdata,"hadoop,scala,java,machine-learning,bigdata","Senior Software Engineer, Machine Learning at Criteo Labs (Palo Alto, CA)"
hadoop,personalization,machine-learning,recommendation-engine,bigdata,"hadoop,personalization,machine-learning,recommendation-engine,bigdata","Staff Research Scientist at Criteo Labs (Palo Alto, CA)"
sap,,,,,"sap,,,,","SAP SD/C4C - Business Analyst at Crown Equipment Corporation (New Bremen, OH)"
reactjs,php,zend-framework,redux,backend,"reactjs,php,zend-framework,redux,backend","Software Engineer--PHP at Research Square (Durham, NC) (allows remote)"
less,user-experience,user-interface,,,"less,user-experience,user-interface,,","Sr. Data Analyst at 14 West and The Agora Companies (Brooksville, FL)"
photoshop,adobe-illustrator,responsive-design,data,data-visualization,"photoshop,adobe-illustrator,responsive-design,data,data-visualization","UI/UX designer, Cryptofinance applications at Blockstream (Victoria, BC, Canada)"
c++,python,machine-learning,deep-learning,data-science,"c++,python,machine-learning,deep-learning,data-science","Senior Machine Learning Engineer at Revl.com (San Francisco, CA) (allows remote)"
